순번,단지명,회사명,"공장대표주소(지번, 도로명 주소)",업종번호,업종명,대표번호,비고
316,화성동탄일반산업단지,하나산업(주),경기도 화성시 방교동 781-3번지,"70121, 72919","기타 기술 시험, 검사 및 분석업 외 1 종",070-7011-1760,
317,화성동탄일반산업단지,한국야마자키마작(주),경기도 화성시 방교동 838-13,29223,금속 절삭기계 제조업,031-376-6052,
318,화성동탄일반산업단지,한국에스지에스(주),경기도 화성시 방교동 781-3,72911,물질성분 검사 및 분석업,031-240-6600,
319,화성동탄일반산업단지,한국에스지에스(주) ,경기도 화성시 방교동 781-2번지,72911,물질성분 검사 및 분석업,02-709-4500,
320,화성동탄일반산업단지,한국지역난방공사 동탄지사,경기도 화성시 방교동 830번지,35300,"증기, 냉.온수 및 공기조절 공급업",031-8077-4241,
321,화성동탄일반산업단지,한솔아이원스(주),경기도 화성시 방교동 797-3번지,29271,반도체 제조용 기계 제조업,031-238-7785,
322,화성동탄일반산업단지,한양몰드(주),경기도 화성시 방교동 835-7번지,29294,주형 및 금형 제조업,031-378-8100,
323,화성동탄일반산업단지,한양엠텍(주),경기도 화성시 방교동 797-5번지,29294,주형 및 금형 제조업,031-376-9603,
324,화성동탄일반산업단지,한양정공,경기도 화성시 방교동 798-13,29294,주형 및 금형 제조업,,
325,화성동탄일반산업단지,한일프라콘(주) 동탄공장,경기도 화성시 방교동 835-2,22232,포장용 플라스틱 성형용기 제조업,031-376-7136,
326,화성동탄일반산업단지,한화에너지(주),경기도 화성시 방교동 840-3번지,"26410, 35114",유선 통신장비 제조업 외 1 종,070-8672-4104,
327,화성동탄일반산업단지,현대모비스(주),경기도 화성시 방교동 805-2,52101,일반 창고업,,
328,화성동탄일반산업단지,황제프리시젼(유),경기도 화성시 방교동 798-6번지,27191,치과용 기기 제조업,031-376-0982,
329,화성마도일반산업단지,(주)가야 ,경기도 화성시 마도면 쌍송리 667번지,"26224, 26295, 26299, 28512, 28520, 29171, 29172, 29174",전자부품 실장기판 제조업 외 7 종,031-356-6481,
330,화성마도일반산업단지,(주)경민,경기도 화성시 마도면 쌍송리 692-5 ,"25941, 25942, 25999",볼트 및 너트류 제조업 외 2 종,031-357-8351,
331,화성마도일반산업단지,(주)경인엠제이시스템,경기도 화성시 마도면 쌍송리 674-3번지,68112,비주거용 건물 임대업,031-433-0290,
332,화성마도일반산업단지,(주)구일,경기도 화성시 마도면 쌍송리 661-5번지,52915,주차장 운영업,031-366-9675,
333,화성마도일반산업단지,(주)그라코머시너리,경기도 화성시 마도면 쌍송리 677-4,29293,인쇄 및 제책용 기계 제조업,031-357-4303,
334,화성마도일반산업단지,(주)그린알텍,경기도 화성시 마도면 쌍송리 676-4번지,24222,"알루미늄 압연, 압출 및 연신제품 제조업",031-357-7916,
335,화성마도일반산업단지,(주)근영,경기도 화성시 마도면 쌍송리 675번지,29294,주형 및 금형 제조업,031-355-7701,
336,화성마도일반산업단지,(주)글로벌플랜트,경기도 화성시 마도면 쌍송리 683-9번지,"25122, 25123",금속탱크 및 저장용기 제조업 외 1 종,031-357-9841,
337,화성마도일반산업단지,(주)네오엔텍,경기도 화성시 마도면 쌍송리 691-11,"25999, 28123",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,070-4442-6592,
338,화성마도일반산업단지,(주)다산솔루에타,경기도 화성시 마도면 쌍송리 683-5,"25922, 25923, 26295, 26299",도금업 외 3 종,031-508-2655,
339,화성마도일반산업단지,(주)다산카이스,경기도 화성시 마도면 쌍송리 683-5,"25999, 28901",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,070-4900-0539,
340,화성마도일반산업단지,(주)다우산,경기도 화성시 마도면 쌍송리 691-1번지,"25912, 30320, 30400",금속 단조제품 제조업 외 2 종,031-366-8550,
341,화성마도일반산업단지,(주)다우산,경기도 화성시 마도면 쌍송리 683-3번지,"25913, 25914, 30320, 30400",자동차용 금속 압형제품 제조업 외 3 종,031-366-8550,
342,화성마도일반산업단지,(주)대화알로이테크,경기도 화성시 마도면 쌍송리 678-7번지,"29261, 29299",그 외 기타 특수목적용 기계 제조업 외 1 종,031-355-7347,
343,화성마도일반산업단지,(주)동우파워텍,경기도 화성시 마도면 쌍송리 마도지방산업단지 10블럭 4롯트,28123,배전반 및 전기 자동제어반 제조업,031-366-9017,
344,화성마도일반산업단지,(주)드림스틸,경기도 화성시 마도면 쌍송리 683-6,"25921, 25929",금속 열처리업 외 1 종,031-357-0674,
345,화성마도일반산업단지,(주)디케이 ,경기도 화성시 마도면 쌍송리 692-9번지,"25929, 25999",그 외 기타 금속가공업 외 1 종,031-434-3136,
346,화성마도일반산업단지,(주)명진강업,경기도 화성시 마도면 쌍송리 674번지,68112,비주거용 건물 임대업,02-2676-5533,
347,화성마도일반산업단지,(주)문고리닷컴 ,경기도 화성시 마도면 쌍송리 676-1번지,29229,기타 가공 공작기계 제조업,070-4439-9566,
348,화성마도일반산업단지,(주)미래코리아 화성공장,경기도 화성시 마도면 쌍송리 676-4번지,68112,비주거용 건물 임대업,343577916,
349,화성마도일반산업단지,(주)미호이.엔.씨,경기도 화성시 마도면 쌍송리 672-1번지,29172,공기 조화장치 제조업,,
350,화성마도일반산업단지,(주)비상이노텍,경기도 화성시 마도면 쌍송리 692-5,25924,절삭가공 및 유사처리업,,
351,화성마도일반산업단지,(주)삼강비앤씨,경기도 화성시 마도면 쌍송리 692-2,25122,금속탱크 및 저장용기 제조업,031-355-1350,
352,화성마도일반산업단지,(주)삼주,경기도 화성시 마도면 쌍송리 684-5번지,25921,금속 열처리업,031-355-3284,
353,화성마도일반산업단지,(주)서원 화성공장,경기도 화성시 마도면 쌍송리 666-1번지,24211,"동 제련, 정련 및 합금 제조업",031-355-9591,
354,화성마도일반산업단지,(주)서진경금속,경기도 화성시 마도면 쌍송리 665,24222,"알루미늄 압연, 압출 및 연신제품 제조업",031-8059-4000,
355,화성마도일반산업단지,(주)설악전기 ,경기도 화성시 마도면 쌍송리 691-11번지,"25929, 28123",그 외 기타 금속가공업 외 1 종,031-356-4134,
356,화성마도일반산업단지,(주)성실엔지니어링,경기도 화성시 마도면 쌍송리 675-3번지,"25113, 25114, 29222, 29224",육상 금속 골조 구조재 제조업 외 3 종,031-357-0780,
357,화성마도일반산업단지,(주)성실엔지니어링,경기도 화성시 마도면 쌍송리 665-1번지,"24222, 25113, 25114",육상 금속 골조 구조재 제조업 외 2 종,031-357-0780,
358,화성마도일반산업단지,(주)성실엠와이,경기도 화성시 마도면 쌍송리 675-3,"24222, 25113, 25114, 29224",금속 성형기계 제조업 외 3 종,031-355-6370,
359,화성마도일반산업단지,(주)성실엠와이,경기도 화성시 마도면 쌍송리 675-9,29224,금속 성형기계 제조업,031-357-0780,
360,화성마도일반산업단지,(주)성일금속,경기도 화성시 마도면 쌍송리 684-4번지,"24290, 25921, 25922",도금업 외 2 종,031-355-2702,
361,화성마도일반산업단지,(주)세아그린텍,경기도 화성시 마도면 쌍송리 674-2번지,68112,비주거용 건물 임대업,031-356-3644,
362,화성마도일반산업단지,(주)승신,경기도 화성시 마도면 쌍송리 677-6번지,"29261, 29299, 30201, 30202",차체 및 특장차 제조업 외 3 종,031-357-6711,
363,화성마도일반산업단지,(주)신아인더스트리,경기도 화성시 마도면 쌍송리 675-2,29150,"산업용 오븐, 노 및 노용 버너 제조업",031-433-0181,
364,화성마도일반산업단지,(주)아이에스오토 화성지점,경기도 화성시 마도면 쌍송리 667-3번지,"30320, 30400",자동차 차체용 신품 부품 제조업 외 1 종,031-356-6126,
365,화성마도일반산업단지,(주)아이엠첨단소재,경기도 화성시 마도면 쌍송리 674-3,29272,디스플레이 제조용 기계 제조업,031-8047-9952,
366,화성마도일반산업단지,(주)아템,경기도 화성시 마도면 쌍송리 683-6 번지,"29222, 29224",디지털 적층 성형기계 제조업 외 1 종,031-356-7120,
367,화성마도일반산업단지,(주)에스에스에코텍,경기도 화성시 마도면 쌍송리 676-3번지,"25111, 29131, 29132, 29133, 29161, 29163, 29169, 29174, 29175, 29176, 29199, 29210, 29261, 29299",액체 여과기 제조업 외 13 종,031-427-9550,
368,화성마도일반산업단지,(주)에스엔디코퍼레이션,경기도 화성시 마도면 쌍송리 692-9번지,"25924, 29176, 29199, 29261, 29299",절삭가공 및 유사처리업 외 4 종,031-831-5783,
369,화성마도일반산업단지,(주)에이디엠,경기도 화성시 마도면 쌍송리 677-4번지,25924,절삭가공 및 유사처리업,031-366-9015,
370,화성마도일반산업단지,(주)에이스정공,경기도 화성시 마도면 쌍송리 마도지방산업단지 8블럭9롯트,"29176, 29199",그 외 기타 일반목적용 기계 제조업 외 1 종,031-356-8445,
371,화성마도일반산업단지,(주)에치케이씨,경기도 화성시 마도면 쌍송리 678-1번지,"29133, 30310, 30331","탭, 밸브 및 유사장치 제조업 외 2 종",031-488-8266,
372,화성마도일반산업단지,(주)엔원테크,경기도 화성시 마도면 쌍송리 683-9,"24290, 25122, 29271",금속탱크 및 저장용기 제조업 외 2 종,031-362-4310,
373,화성마도일반산업단지,(주)엠테크놀로지,경기도 화성시 마도면 쌍송리 672-5,"29229, 29241",건설 및 채광용 기계장비 제조업 외 1 종,031-8055-8778,
374,화성마도일반산업단지,(주)영동,경기도 화성시 마도면 쌍송리 666-3번지,"24191, 25921, 25922, 25923, 25929","도금, 착색 및 기타 표면처리강재 제조업 외 4 종",031-357-5020,
375,화성마도일반산업단지,(주)영산볼트,경기도 화성시 마도면 쌍송리 691-10,"25912, 25941, 25942, 25999, 29223, 29224, 35114",볼트 및 너트류 제조업 외 6 종,031-495-7890,
376,화성마도일반산업단지,(주)영신금속,경기도 화성시 마도면 쌍송리 691-6번지,"25113, 25114, 25922",육상 금속 골조 구조재 제조업 외 2 종,031-366-9779,
377,화성마도일반산업단지,(주)오션코리아,경기도 화성시 마도면 쌍송리 675-10,29222,디지털 적층 성형기계 제조업,02-893-7101,
378,화성마도일반산업단지,(주)오티사이언스,경기도 화성시 마도면 쌍송리 666-4,"24219, 26295, 26299","기타 비철금속 제련, 정련 및 합금 제조업 외 2 종",031-355-9121,
379,화성마도일반산업단지,(주)우리기술,경기도 화성시 마도면 쌍송리 664-2번지,"25913, 25914, 29294",주형 및 금형 제조업 외 2 종,031-434-2604,
380,화성마도일반산업단지,(주)우성에이디엠,경기도 화성시 마도면 쌍송리 666번지,24321,알루미늄주물 주조업,031-357-0091,
381,화성마도일반산업단지,(주)우진에어텍,경기도 화성시 마도면 쌍송리 690-6,25112,구조용 금속 판제품 및 공작물 제조업,031-433-2757,
382,화성마도일반산업단지,(주)유진이엔티,경기도 화성시 마도면 쌍송리 677-3번지 677-3번지,29171,산업용 냉장 및 냉동 장비 제조업,031-355-5841,
383,화성마도일반산업단지,(주)육인테크,경기도 화성시 마도면 쌍송리 666-6번지,24123,철강선 제조업,031-356-8800,
384,화성마도일반산업단지,(주)이누테크,경기도 화성시 마도면 쌍송리 675-4,29224,금속 성형기계 제조업,031-3552-2961,
385,화성마도일반산업단지,(주)이앤에프(ENF),경기도 화성시 마도면 쌍송리 664-1번지,"25921, 30331, 30400",자동차용 신품 동력전달장치 제조업 외 2 종,031-8055-0600,
386,화성마도일반산업단지,(주)이엑스피 ,경기도 화성시 마도면 쌍송리 672-5번지,24222,"알루미늄 압연, 압출 및 연신제품 제조업",031-488-8376,
387,화성마도일반산업단지,(주)이열보드,경기도 화성시 마도면 쌍송리 683-9 번지,"25111, 25112, 25113, 25114, 25119","금속 문, 창, 셔터 및 관련제품 제조업 외 4 종",02-841-2980,
388,화성마도일반산업단지,(주)전기로공업 ,경기도 화성시 마도면 쌍송리 677-9번지,29150,"산업용 오븐, 노 및 노용 버너 제조업",031-355-5357,
389,화성마도일반산업단지,(주)정금형,경기도 화성시 마도면 쌍송리 675-5번지,29294,주형 및 금형 제조업,031-366-7946,
390,화성마도일반산업단지,(주)제이아이엠티,경기도 화성시 마도면 쌍송리 683-7,25929,그 외 기타 금속가공업,,
391,화성마도일반산업단지,(주)중앙하이프론 ,경기도 화성시 마도면 쌍송리 692-10번지,25122,금속탱크 및 저장용기 제조업,032-811-0114,
392,화성마도일반산업단지,(주)지엠이노텍,경기도 화성시 마도면 쌍송리 666-2번지,"26295, 26299",그 외 기타 전자부품 제조업 외 1 종,031-357-9535,
393,화성마도일반산업단지,(주)지엠이노텍,경기도 화성시 마도면 쌍송리 666-7,"24290, 26299",기타 1차 비철금속 제조업 외 1 종,031-357-9535,
394,화성마도일반산업단지,(주)진웅테크놀러지,경기도 화성시 마도면 쌍송리 678-1번지,"29222, 29224",디지털 적층 성형기계 제조업 외 1 종,031-366-8611,
395,화성마도일반산업단지,(주)진주메이트,경기도 화성시 마도면 쌍송리 664-6,30399,그 외 자동차용 신품 부품 제조업,031-494-1624,
396,화성마도일반산업단지,(주)창대기업,경기도 화성시 마도면 쌍송리 684,25923,도장 및 기타 피막처리업,031-366-8477,
397,화성마도일반산업단지,(주)켐프론테크 ,경기도 화성시 마도면 쌍송리 692-10번지,25122,금속탱크 및 저장용기 제조업,,
398,화성마도일반산업단지,(주)코메트,경기도 화성시 마도면 쌍송리 684-2번지,"25922, 26212, 26219",도금업 외 2 종,031-357-4871,
399,화성마도일반산업단지,(주)태종,경기도 화성시 마도면 쌍송리 690-6,"25112, 25113, 29172",구조용 금속 판제품 및 공작물 제조업 외 2 종,031-355-5915,
400,화성마도일반산업단지,(주)파라,경기도 화성시 마도면 쌍송리 664-3 번지,"29175, 30391, 30392, 30399, 30400",그 외 자동차용 신품 부품 제조업 외 4 종,031-831-8770,
401,화성마도일반산업단지,(주)포스젯한도,경기도 화성시 마도면 쌍송리 677-7번지,"29261, 29299",그 외 기타 특수목적용 기계 제조업 외 1 종,031-355-9222,
402,화성마도일반산업단지,(주)포엔,경기도 화성시 마도면 쌍송리 667-4번지,26299,그 외 기타 전자부품 제조업,031-429-7139,
403,화성마도일반산업단지,(주)퓨처코어 화성지점,경기도 화성시 마도면 쌍송리 667-1번지,26299,그 외 기타 전자부품 제조업,031-366-9638,
404,화성마도일반산업단지,(주)하나이엠아이,경기도 화성시 마도면 쌍송리 664-1번지,"30320, 30400",자동차 차체용 신품 부품 제조업 외 1 종,031-366-8000,
405,화성마도일반산업단지,(주)한강엔지니어링,경기도 화성시 마도면 쌍송리 677-8번지,"25122, 25123, 27213, 29261, 29299",그 외 기타 특수목적용 기계 제조업 외 4 종,031-355-8114,
406,화성마도일반산업단지,(주)한성GT,경기도 화성시 마도면 쌍송리 375-4번지,68112,비주거용 건물 임대업,031-366-9500,
407,화성마도일반산업단지,(주)해밀이엔지,경기도 화성시 마도면 쌍송리 677-2,29293,인쇄 및 제책용 기계 제조업,031-356-8359,
408,화성마도일반산업단지,(주)화성비엔텍,경기도 화성시 마도면 쌍송리 691-11번지,25121,산업용 난방보일러 및 방열기 제조업,031-357-8493,
409,화성마도일반산업단지,갈롤코리아(주),경기도 화성시 마도면 쌍송리 683번지,25923,도장 및 기타 피막처리업,031-355-6173,
410,화성마도일반산업단지,강원코일센타,경기도 화성시 마도면 쌍송리 665-5번지,24199,그 외 기타 1차 철강 제조업,031-358-2161,
411,화성마도일반산업단지,경성,경기도 화성시 마도면 쌍송리 674-1번지,25929,그 외 기타 금속가공업,031-356-5002,
412,화성마도일반산업단지,경신테크,경기도 화성시 마도면 쌍송리 663-2번지,"29163, 29169",컨베이어장치 제조업 외 1 종,031-355-9276,
413,화성마도일반산업단지,고원테크,경기도 화성시 마도면 쌍송리 677-5,"25929, 25995, 25999, 29176, 29199, 35114",그 외 기타 일반목적용 기계 제조업 외 5 종,031-357-8222,
414,화성마도일반산업단지,규원산업(주),경기도 화성시 마도면 쌍송리 683-5,"25122, 26299, 28111, 29132",금속탱크 및 저장용기 제조업 외 3 종,031-366-0471,
415,화성마도일반산업단지,금강변압기,경기도 화성시 마도면 쌍송리 691번지,"28112, 28121, 28122",변압기 제조업 외 2 종,031-356-1152,
416,화성마도일반산업단지,금풍산업,경기도 화성시 마도면 쌍송리 667-7번지,"24290, 25932",기타 1차 비철금속 제조업 외 1 종,031-355-9337,
417,화성마도일반산업단지,대경에스코(주),경기도 화성시 마도면 쌍송리 678-2,"29150, 29171","산업용 오븐, 노 및 노용 버너 제조업 외 1 종",032-817-5100,
418,화성마도일반산업단지,대광산업기계(주),경기도 화성시 마도면 쌍송리 675-2번지,"25122, 25123",금속탱크 및 저장용기 제조업 외 1 종,031-357-5907,
419,화성마도일반산업단지,대명기업,경기도 화성시 마도면 쌍송리 690-1번지,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,031-357-7697,
420,화성마도일반산업단지,대성금속 ,경기도 화성시 마도면 쌍송리 672-7번지,29133,"탭, 밸브 및 유사장치 제조업",031-356-7138,
421,화성마도일반산업단지,대성정공 ,경기도 화성시 마도면 쌍송리 675-11번지,29133,"탭, 밸브 및 유사장치 제조업",02-894-8055,
422,화성마도일반산업단지,대성테크,경기도 화성시 마도면 쌍송리 675-11 번지,"24132, 24133",강관 제조업 외 1 종,,
423,화성마도일반산업단지,대성화학기계,경기도 화성시 마도면 쌍송리 691-7번지,"25119, 25122, 28909, 29175, 29230, 29242, 29292, 29299",기타 구조용 금속제품 제조업 외 7 종,031-355-6348,
424,화성마도일반산업단지,대영산기,경기도 화성시 마도면 쌍송리 692-7번지,25999,그 외 기타 분류 안된 금속 가공 제품 제조업,031-366-9377,
425,화성마도일반산업단지,대원정밀공업(주),경기도 화성시 마도면 쌍송리 674-2번지,"29142, 29199, 30393",기어 및 동력전달장치 제조업 외 2 종,031-489-0719,
426,화성마도일반산업단지,대유라디에터공업(주),경기도 화성시 마도면 쌍송리 676번지,29176,"증류기, 열교환기 및 가스발생기 제조업",031-494-4411,
427,화성마도일반산업단지,대진기업(주),경기도 화성시 마도면 쌍송리 691-5번지,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,031-366-8240,
428,화성마도일반산업단지,대진볼트공업(주),경기도 화성시 마도면 쌍송리 672번지,"25941, 25942, 25999",볼트 및 너트류 제조업 외 2 종,031-355-8835,
429,화성마도일반산업단지,대진볼트공업(주),경기도 화성시 마도면 쌍송리 672-6번지,"25941, 25942, 25999",볼트 및 너트류 제조업 외 2 종,031-493-8835,
430,화성마도일반산업단지,대화콘베어체인,경기도 화성시 마도면 쌍송리 690번지,"25999, 29142, 29163, 29294",주형 및 금형 제조업 외 3 종,031-431-4115,
431,화성마도일반산업단지,동영산업(주),경기도 화성시 마도면 쌍송리 692-4번지,"30391, 30392, 30399, 30400",그 외 자동차용 신품 부품 제조업 외 3 종,031-356-0012,
432,화성마도일반산업단지,미성산업,경기도 화성시 마도면 쌍송리 672-2번지,"25113, 25114, 35114",육상 금속 골조 구조재 제조업 외 2 종,031-355-2996,
433,화성마도일반산업단지,미우산업,경기도 화성시 마도면 쌍송리 664-5,"30391, 30392, 30399, 30400",그 외 자동차용 신품 부품 제조업 외 3 종,031-355-9454,
434,화성마도일반산업단지,백천스틸(주),경기도 화성시 마도면 쌍송리 690-2,24123,철강선 제조업,070-7717-8196,
435,화성마도일반산업단지,본하이테크(주),경기도 화성시 마도면 쌍송리 683-8번지,"24229, 29294, 30391, 30392, 30399, 30400",주형 및 금형 제조업 외 5 종,031-495-6914,
436,화성마도일반산업단지,본하이테크(주),경기도 화성시 마도면 쌍송리 684-1번지,"24229, 29294, 30391, 30392, 30399, 30400",주형 및 금형 제조업 외 5 종,031-495-6914,
437,화성마도일반산업단지,부경진공,경기도 화성시 마도면 쌍송리 665-2번지,"24191, 25923","도금, 착색 및 기타 표면처리강재 제조업 외 1 종",031-355-3229,
438,화성마도일반산업단지,비씨씨(주),경기도 화성시 마도면 쌍송리 684-6번지,"20495, 20499, 25929",그 외 기타 금속가공업 외 2 종,031-355-8897,
439,화성마도일반산업단지,선호기업,경기도 화성시 마도면 쌍송리 690-6번지,"25995, 25999",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,031-355-4003,
440,화성마도일반산업단지,성보P&T(주),경기도 화성시 마도면 쌍송리 663-1번지,"30331, 30400",자동차용 신품 동력전달장치 제조업 외 1 종,031-363-3710,
441,화성마도일반산업단지,성산건설(주),경기도 화성시 마도면 쌍송리 666-7번지,"25112, 25119",구조용 금속 판제품 및 공작물 제조업 외 1 종,031-8018-2550,
442,화성마도일반산업단지,세기인더스 주식회사,경기도 화성시 마도면 쌍송리 665-2,24191,"도금, 착색 및 기타 표면처리강재 제조업",031-355-8939,
443,화성마도일반산업단지,세원펀칭,경기도 화성시 마도면 쌍송리 591-51번지,"25995, 25999, 29222, 29224",디지털 적층 성형기계 제조업 외 3 종,031-356-7083,
444,화성마도일반산업단지,승우카공업사,경기도 화성시 마도면 쌍송리 662번지,"96994, 96999",그 외 기타 달리 분류되지 않은 개인 서비스업 외 1 종,031-357-9774,
445,화성마도일반산업단지,신덕산업(주),경기도 화성시 마도면 쌍송리 675-6,"25913, 25914, 29294",주형 및 금형 제조업 외 2 종,031-357-7433,
446,화성마도일반산업단지,신라파이어(주),경기도 화성시 마도면 쌍송리 683-4번지,"24290, 25113, 25114, 25924, 25929, 25995, 25999, 29133, 29193, 30122, 30201, 30202",기타 1차 비철금속 제조업 외 11 종,031-356-4119,
447,화성마도일반산업단지,신성소재(주),경기도 화성시 마도면 쌍송리 691-8번지,24229,"기타 비철금속 압연, 압출 및 연신 제품 제조업",031-366-7781,
448,화성마도일반산업단지,신정엔지니어링(주),경기도 화성시 마도면 쌍송리 692-2,25122,금속탱크 및 저장용기 제조업,031-355-7083,
449,화성마도일반산업단지,씨앤아이기계공업(주),경기도 화성시 마도면 쌍송리 675-2번지,"28123, 29161, 29169",산업용 트럭 및 적재기 제조업 외 2 종,031-355-3663,
450,화성마도일반산업단지,알로이메탈산업,경기도 화성시 마도면 쌍송리 665-4,24290,기타 1차 비철금속 제조업,02-2638-0323,
451,화성마도일반산업단지,에이앤피산업(주),경기도 화성시 마도면 쌍송리 676-7번지,"29261, 29299",그 외 기타 특수목적용 기계 제조업 외 1 종,031-357-6575,
452,화성마도일반산업단지,에이앤피산업(주),경기도 화성시 마도면 쌍송리 676-6번지,"25999, 29280, 29299",그 외 기타 분류 안된 금속 가공 제품 제조업 외 2 종,031-357-6575,
453,화성마도일반산업단지,에이치제이씨(주),경기도 화성시 마도면 쌍송리 690-3,"25119, 25995, 25999",기타 구조용 금속제품 제조업 외 2 종,031-356-6673,
454,화성마도일반산업단지,에이텍 주식회사,경기도 화성시 마도면 쌍송리 690-1,29210,농업 및 임업용 기계 제조업,031-356-3752,
455,화성마도일반산업단지,에이피아이(주),경기도 화성시 마도면 쌍송리 690-2,25913,자동차용 금속 압형제품 제조업,031-357-5210,
456,화성마도일반산업단지,에프디시스(주),경기도 화성시 마도면 쌍송리 667-2,"26421, 29172, 29174, 29299",방송장비 제조업 외 3 종,031-366-8405,
457,화성마도일반산업단지,예성,경기도 화성시 마도면 쌍송리 675-7번지,"30391, 30392, 30399, 30400",그 외 자동차용 신품 부품 제조업 외 3 종,031-356-8396,
458,화성마도일반산업단지,오유테크코리아,경기도 화성시 마도면 쌍송리 664-7,25924,절삭가공 및 유사처리업,031-355-6526,
459,화성마도일반산업단지,와산업(주) ,경기도 화성시 마도면 쌍송리 692-6번지,25122,금속탱크 및 저장용기 제조업,031-494-0611,
460,화성마도일반산업단지,위버텍(주),경기도 화성시 마도면 쌍송리 674-3번지,"26295, 26299",그 외 기타 전자부품 제조업 외 1 종,031-8069-8011,
461,화성마도일반산업단지,유원메탈,경기도 화성시 마도면 마도공단로4길 46-20,25929,그 외 기타 금속가공업,031-356-5002,
462,화성마도일반산업단지,은혜정밀(주),경기도 화성시 마도면 쌍송리 691-2,25999,그 외 기타 분류 안된 금속 가공 제품 제조업,031-8043-3027,
463,화성마도일반산업단지,인알파코리아(주),경기도 화성시 마도면 쌍송리 664-4,"30310, 30400",자동차 엔진용 신품 부품 제조업 외 1 종,031-369-8000,
464,화성마도일반산업단지,인알파코리아(주),경기도 화성시 마도면 쌍송리 667-5번지,"30391, 30392, 30399, 30400",그 외 자동차용 신품 부품 제조업 외 3 종,031-369-8000,
465,화성마도일반산업단지,인알파코리아(주),경기도 화성시 마도면 쌍송리 674,29169,기타 물품 취급장비 제조업,031-369-8000,
466,화성마도일반산업단지,전기로공업,경기도 화성시 마도면 쌍송리 677-9번지,"29150, 29171","산업용 오븐, 노 및 노용 버너 제조업 외 1 종",031-355-5357,
467,화성마도일반산업단지,제이엠테크닉스(주),경기도 화성시 마도면 쌍송리 675-1번지,"25924, 29299",그 외 기타 특수목적용 기계 제조업 외 1 종,031-431-8086,
468,화성마도일반산업단지,제일이엔에스(주) 화성공장,경기도 화성시 마도면 쌍송리 667-6번지,"25122, 25123, 26121, 26129, 29229",발광 다이오드 제조업 외 4 종,031-357-6751,
469,화성마도일반산업단지,젬코텍,경기도 화성시 마도면 쌍송리 683번지,68112,비주거용 건물 임대업,031-356-6603,
470,화성마도일반산업단지,주식회사 동기피엔아이,경기도 화성시 마도면 쌍송리 663-2번지,"29294, 30320",자동차 차체용 신품 부품 제조업 외 1 종,031-355-9860,
471,화성마도일반산업단지,주식회사 비앤에이,경기도 화성시 마도면 쌍송리 676-3,29299,그 외 기타 특수목적용 기계 제조업,031-359-6948,
472,화성마도일반산업단지,주식회사 아민,경기도 화성시 마도면 쌍송리 691-9,25113,육상 금속 골조 구조재 제조업,031-366-8117,
473,화성마도일반산업단지,주식회사블루그린,경기도 화성시 마도면 쌍송리 676-3,29299,그 외 기타 특수목적용 기계 제조업,031-359-6948,
474,화성마도일반산업단지,지코아시아 주식회사 ,경기도 화성시 마도면 쌍송리 675-2번지,29150,"산업용 오븐, 노 및 노용 버너 제조업",070-4630-9500,
475,화성마도일반산업단지,지테크산업(주),경기도 화성시 마도면 쌍송리 684-3번지,"25112, 25922",도금업 외 1 종,031-357-5902,
476,화성마도일반산업단지,지테크산업(주),경기도 화성시 마도면 쌍송리 684-4번지,25922,도금업,031-357-5902,
477,화성마도일반산업단지,진영철강(주),경기도 화성시 마도면 쌍송리 678-7번지,24123,철강선 제조업,031-432-9679,
478,화성마도일반산업단지,창현공조,경기도 화성시 마도면 쌍송리 692-3,"25995, 25999, 29173",그 외 기타 분류 안된 금속 가공 제품 제조업 외 2 종,031-426-7820,
479,화성마도일반산업단지,캐럿앤빈,경기도 화성시 마도면 쌍송리 690-3,"25119, 25995, 25999",기타 구조용 금속제품 제조업 외 2 종,,
480,화성마도일반산업단지,코웨이엔텍 주식회사  ,경기도 화성시 마도면 쌍송리 672-4,29175,액체 여과기 제조업,02-910-2663,
481,화성마도일반산업단지,태양기어,경기도 화성시 마도면 쌍송리 674-4,29142,기어 및 동력전달장치 제조업,031-356-9002,
482,화성마도일반산업단지,태흥유압,경기도 화성시 마도면 쌍송리 690-1번지,"29120, 29132, 29222, 29224",유압기기 제조업 외 3 종,,
483,화성마도일반산업단지,티엠씨테크,경기도 화성시 마도면 쌍송리 690-4번지,"25995, 25999",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,031-509-8900,
484,화성마도일반산업단지,플러스에이원(주) ,경기도 화성시 마도면 쌍송리 692-7번지,25999,그 외 기타 분류 안된 금속 가공 제품 제조업,031-891-8194,
485,화성마도일반산업단지,한강에너지 태양광발전소 ,경기도 화성시 마도면 쌍송리 677-8번지,35114,태양력 발전업,,
486,화성마도일반산업단지,한국터치스크린(주),경기도 화성시 마도면 쌍송리 667-2,26299,그 외 기타 전자부품 제조업,031-355-5664,
487,화성마도일반산업단지,한국파렛트풀(주),경기도 화성시 마도면 쌍송리 678-4번지,30203,트레일러 및 세미트레일러 제조업,02-3669-7442,
